,assist_percentage,away_losses,block_percentage,conference_losses,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws_per_field_goal_attempt,home_losses,net_rating,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throw_percentage,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_points,opp_steal_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_turnover_percentage,opp_two_point_field_goal_percentage,pace,points,simple_rating_system,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,major,abb,abbreviation,assists,away_wins,blocks,conference,conference_wins,defensive_rebounds,field_goal_attempts,field_goals,free_throws,games_played,home_wins,losses,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goals,opp_free_throw_attempts,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goals,personal_fouls,steals,three_point_field_goal_attempts,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goals,wins,cluster,math_cluster,k_vs_math_match
0,58.9,8,5.0,12,0.53,0.45299999999999996,0.36700000000000005,588,0.73,0.268,7,-1.4,105.7,22.7,53.4,8.5,0.5479999999999999,0.46,0.294,0.706,0.20800000000000002,107.1,22.4,2156,9.0,0.478,0.368,49.9,0.5720000000000001,15.0,0.545,69.4,2127,-0.74,7.1,2.34,0.413,0.375,50.1,0.5660000000000001,16.1,0.508,0.379,1,AIR-FORCE,AIR-FORCE,427,3,43,mwc,5,739,1601,725,429,29,8,18,1160,Air Force,218,406,80,742,1653,761,486,343,213,553,182,790,291,955,332,863,470,487,142,662,248,957,361,939,477,11,2,2,True
1,51.9,7,10.8,8,0.527,0.441,0.35,627,0.6920000000000001,0.242,4,5.3,106.4,29.7,43.1,12.5,0.47200000000000003,0.42,0.35700000000000004,0.742,0.265,101.1,30.4,2207,10.9,0.34700000000000003,0.303,50.0,0.517,15.5,0.48200000000000004,76.6,2323,12.32,8.2,8.17,0.48700000000000004,0.354,50.0,0.556,16.7,0.523,0.536,2,ALABAMA,ALABAMA,410,4,129,sec,7,791,1792,790,434,28,9,13,1140,Alabama,325,330,115,771,1825,766,651,483,346,557,239,634,192,1117,392,1191,574,560,179,872,309,1116,420,920,481,15,2,2,True
2,41.2,4,9.5,5,0.493,0.434,0.32299999999999995,551,0.688,0.222,2,5.5,100.2,26.5,50.7,9.6,0.488,0.426,0.341,0.67,0.228,94.7,27.9,1949,8.8,0.38,0.32799999999999996,51.1,0.518,19.5,0.486,73.5,2061,11.85,10.6,7.85,0.36,0.32899999999999996,48.9,0.524,15.9,0.493,0.679,2,ARIZONA-STATE,ARIZONA-STATE,305,6,95,pac-12,10,730,1706,740,379,28,12,9,1120,Arizona State,278,349,105,770,1618,689,551,369,283,516,182,615,202,1053,455,1003,487,516,219,614,202,1008,373,1092,538,19,3,4,False
3,56.9,5,10.7,6,0.51,0.45,0.371,619,0.735,0.273,3,17.1,109.1,30.8,52.7,7.8,0.45799999999999996,0.397,0.336,0.711,0.239,92.0,25.7,1820,6.4,0.381,0.32,47.2,0.498,18.2,0.445,70.0,2158,20.27,9.6,8.2,0.34600000000000003,0.348,52.8,0.55,14.1,0.504,0.679,2,ARIZONA,ARIZONA,427,4,104,pac-12,9,748,1668,751,455,28,12,9,1130,Arizona,303,330,85,682,1576,626,529,376,259,541,126,600,192,941,407,976,434,509,190,577,201,1051,322,1091,550,19,4,4,True
4,46.0,6,9.7,9,0.501,0.439,0.40399999999999997,648,0.731,0.295,4,9.6,102.9,21.7,42.5,8.9,0.462,0.42100000000000004,0.409,0.703,0.28800000000000003,93.3,30.8,1889,7.0,0.326,0.254,54.7,0.508,19.9,0.502,71.1,2083,14.08,11.5,7.15,0.38799999999999996,0.32299999999999995,45.3,0.544,14.7,0.512,0.643,2,ARKANSAS,ARKANSAS,324,4,102,sec,6,674,1605,704,474,28,13,10,1140,Arkansas,213,279,87,770,1558,656,637,448,300,590,141,508,129,1070,461,1050,527,553,233,623,201,887,329,982,503,18,3,3,True
5,48.8,4,13.0,4,0.498,0.433,0.449,759,0.672,0.302,0,11.1,108.2,35.6,45.3,9.3,0.47200000000000003,0.413,0.325,0.711,0.231,97.1,27.7,1968,9.2,0.365,0.326,46.3,0.509,16.7,0.462,70.5,2193,14.92,8.9,6.88,0.431,0.301,53.7,0.534,15.0,0.5329999999999999,0.857,2,AUBURN,AUBURN,357,4,138,sec,11,766,1691,732,510,28,16,4,1150,Auburn,387,313,90,701,1675,691,544,387,294,599,186,611,199,995,388,1064,492,529,181,728,219,1153,361,963,513,24,2,4,False
6,55.1,0,12.8,1,0.498,0.43200000000000005,0.305,486,0.698,0.213,1,19.0,107.1,35.9,51.9,13.3,0.442,0.389,0.287,0.6859999999999999,0.19699999999999998,88.1,29.0,1585,8.4,0.349,0.305,46.9,0.475,19.5,0.434,66.6,1927,21.14,11.9,8.48,0.375,0.355,53.1,0.528,14.9,0.478,0.9259999999999999,2,BAYLOR,BAYLOR,379,8,122,big-12,14,662,1593,688,339,27,13,2,1080,Baylor,346,296,132,619,1467,570,421,289,271,491,152,512,156,890,405,955,414,445,214,597,212,1008,320,996,476,25,4,4,True
7,50.3,8,4.0,7,0.526,0.452,0.35700000000000004,622,0.7490000000000001,0.268,2,9.9,106.6,25.2,44.6,7.3,0.506,0.45,0.289,0.7190000000000001,0.20800000000000002,96.7,21.4,2081,8.3,0.379,0.29100000000000004,48.6,0.536,17.8,0.5479999999999999,70.3,2295,8.52,8.2,3.79,0.425,0.348,51.4,0.564,15.6,0.528,0.633,1,BOISE-STATE,BOISE-STATE,395,4,42,mwc,11,778,1740,786,466,30,13,11,1225,Boise State,258,343,73,766,1707,769,494,355,212,599,179,647,188,978,420,1060,581,511,176,739,257,1036,376,1001,529,19,2,1,False
8,53.4,7,7.3,11,0.465,0.406,0.292,487,0.665,0.19399999999999998,9,-6.9,93.0,25.4,52.7,9.1,0.506,0.44299999999999995,0.298,0.7120000000000001,0.212,99.9,30.5,2016,9.4,0.37200000000000005,0.33799999999999997,53.4,0.536,18.9,0.505,69.3,1876,2.35,11.6,7.18,0.39,0.301,46.6,0.493,16.9,0.473,0.44799999999999995,2,BOSTON-COLLEGE,BOSTON-COLLEGE,362,4,76,acc,7,681,1670,678,324,29,8,16,1165,Boston College,271,385,93,794,1647,730,490,349,299,490,190,612,207,1093,437,1035,523,451,234,652,196,952,388,1018,482,13,1,2,False
9,58.7,5,5.5,3,0.5920000000000001,0.503,0.24,429,0.706,0.17,1,16.2,113.7,20.4,45.6,6.8,0.494,0.442,0.282,0.696,0.196,97.5,23.7,2073,8.7,0.33399999999999996,0.311,50.5,0.522,16.4,0.508,70.0,2417,17.13,8.2,6.48,0.42200000000000004,0.42200000000000004,49.5,0.607,14.2,0.561,0.767,1,BRIGHAM-YOUNG,BRIGHAM-YOUNG,527,5,64,wcc,12,794,1786,898,303,30,14,7,1215,Brigham Young,195,353,70,760,1751,774,493,343,247,474,186,585,182,1007,390,1166,592,484,175,753,318,989,329,1033,580,23,4,4,True
