,assist_percentage,away_losses,block_percentage,conference_losses,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws_per_field_goal_attempt,home_losses,net_rating,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throw_percentage,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_points,opp_steal_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_turnover_percentage,opp_two_point_field_goal_percentage,pace,points,simple_rating_system,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,major,abb,abbreviation,assists,away_wins,blocks,conference,conference_wins,defensive_rebounds,field_goal_attempts,field_goals,free_throws,games_played,home_wins,losses,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goals,opp_free_throw_attempts,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goals,personal_fouls,steals,three_point_field_goal_attempts,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goals,wins,cluster,math_cluster,k_vs_math_match
0,56.9,8,8.0,4,0.509,0.45,0.385,629,0.7490000000000001,0.28800000000000003,2,16.1,105.5,30.8,43.9,9.8,0.47600000000000003,0.42700000000000005,0.46799999999999997,0.741,0.34700000000000003,89.4,27.8,1809,9.6,0.33399999999999996,0.292,49.7,0.531,24.8,0.495,71.3,2134,-2.34,13.0,-6.71,0.377,0.313,50.3,0.552,17.1,0.5329999999999999,0.643,0,ABILENE-CHRISTIAN,ABILENE-CHRISTIAN,418,6,74,southland,13,637,1633,735,471,28,12,10,1135,Abilene Christian,303,261,100,682,1393,595,652,483,245,557,195,465,136,927,561,928,459,598,262,616,193,940,399,1017,542,18,1,4,False
1,51.6,4,7.5,4,0.518,0.43799999999999994,0.33799999999999997,550,0.767,0.259,2,13.3,106.8,28.3,41.3,8.4,0.45,0.4,0.29,0.669,0.19399999999999998,93.5,29.2,1846,8.8,0.331,0.302,49.4,0.48100000000000004,16.5,0.449,70.5,2109,6.85,7.1,-0.69,0.441,0.364,50.6,0.5579999999999999,16.1,0.49700000000000005,0.75,0,AKRON,AKRON,368,7,85,mac,11,775,1627,713,422,28,13,7,1120,Akron,280,279,76,710,1687,675,489,327,320,554,173,559,169,1030,379,1128,506,494,140,718,261,1055,363,909,452,21,3,3,True
2,48.1,13,5.6,10,0.425,0.38,0.321,467,0.679,0.218,4,-13.7,89.4,24.9,51.9,11.2,0.516,0.457,0.35600000000000004,0.657,0.23399999999999999,103.1,26.4,1795,8.7,0.364,0.324,52.6,0.541,15.8,0.5329999999999999,69.3,1556,-18.45,8.4,-8.89,0.32899999999999996,0.278,47.4,0.46299999999999997,15.3,0.429,0.28,0,ALABAMA-AM,ALABAMA-AM,266,2,51,swac,4,624,1457,553,317,25,5,18,1005,Alabama A&M,246,336,110,740,1419,648,505,332,224,430,152,516,167,964,311,903,481,446,146,479,133,870,303,978,420,7,2,2,True
3,42.7,6,8.5,8,0.503,0.45399999999999996,0.35200000000000004,549,0.6920000000000001,0.244,6,3.1,100.4,32.5,47.1,8.6,0.488,0.42,0.267,0.718,0.192,97.3,23.7,1890,10.5,0.41,0.33399999999999996,44.9,0.518,16.4,0.479,67.0,1949,-0.93,8.9,-1.45,0.299,0.32299999999999995,55.1,0.535,19.1,0.511,0.586,0,ALABAMA-BIRMINGHAM,ALABAMA-BIRMINGHAM,303,5,81,cusa,8,769,1560,709,380,29,10,12,1160,Alabama-Birmingham,306,320,94,636,1618,679,432,310,239,503,203,664,222,875,357,954,457,470,172,467,151,1075,429,1093,558,17,1,3,False
4,46.1,13,5.3,7,0.45,0.39,0.361,533,0.625,0.225,3,-13.6,87.5,25.1,51.7,10.5,0.521,0.461,0.36,0.648,0.233,101.1,28.9,1922,10.3,0.358,0.33299999999999996,52.9,0.544,17.7,0.532,70.4,1664,-15.64,8.6,-6.08,0.38799999999999996,0.309,47.1,0.48100000000000004,19.5,0.442,0.29600000000000004,0,ALABAMA-STATE,ALABAMA-STATE,266,2,51,swac,7,626,1478,577,333,27,4,19,1080,Alabama State,241,359,95,718,1508,695,543,352,255,520,196,540,180,973,380,968,515,528,163,573,177,867,420,905,400,8,2,2,True
5,56.7,9,8.2,7,0.483,0.41200000000000003,0.355,567,0.705,0.25,6,-1.6,95.2,24.3,53.8,10.8,0.48100000000000004,0.415,0.271,0.687,0.187,96.8,25.8,1977,11.2,0.386,0.34,49.9,0.509,16.1,0.46299999999999997,70.1,1943,-8.75,7.9,-6.61,0.436,0.326,50.1,0.521,17.8,0.478,0.483,0,ALBANY-NY,ALBANY-NY,373,5,87,america-east,7,770,1597,658,400,29,7,15,1165,Albany (NY),236,385,97,734,1721,715,467,321,268,534,228,665,226,1002,374,1056,489,481,162,696,227,1006,404,901,431,14,1,4,False
6,51.1,12,8.2,6,0.503,0.429,0.285,460,0.75,0.213,1,3.3,103.4,30.7,53.7,7.9,0.507,0.446,0.34700000000000003,0.654,0.22699999999999998,100.1,27.9,1910,10.0,0.355,0.342,48.7,0.532,17.1,0.503,72.7,1972,-15.27,11.2,-9.68,0.40299999999999997,0.37,51.3,0.537,16.9,0.46799999999999997,0.5,0,ALCORN-STATE,ALCORN-STATE,354,4,82,swac,9,682,1616,693,345,26,9,13,1050,Alcorn State,293,369,76,661,1540,687,534,349,264,424,191,546,187,925,370,994,500,465,213,651,241,975,374,965,452,13,4,2,False
7,47.9,10,9.1,6,0.517,0.45799999999999996,0.28300000000000003,459,0.7040000000000001,0.19899999999999998,3,1.3,103.1,26.4,47.8,8.6,0.501,0.45,0.36700000000000005,0.701,0.257,101.8,29.9,1974,8.7,0.314,0.327,51.7,0.536,17.0,0.506,68.9,2000,-4.9,11.1,-5.82,0.348,0.33899999999999997,48.3,0.5429999999999999,15.9,0.522,0.536,0,AMERICAN,AMERICAN,356,5,98,patriot,11,660,1622,743,323,28,10,13,1125,American,247,337,91,690,1568,705,575,403,281,440,169,492,161,971,376,1076,544,488,215,564,191,907,348,1058,552,15,4,1,False
8,49.8,8,6.8,8,0.493,0.43200000000000005,0.38299999999999995,611,0.6659999999999999,0.255,4,2.4,99.5,27.7,55.3,8.0,0.489,0.423,0.267,0.7120000000000001,0.19,97.1,27.7,1931,9.7,0.408,0.322,49.9,0.518,18.2,0.493,68.3,1980,-0.22,10.9,0.16,0.392,0.312,50.1,0.525,16.9,0.509,0.552,0,APPALACHIAN-STATE,APPALACHIAN-STATE,343,6,67,sun-belt,10,743,1596,689,407,29,9,13,1165,Appalachian State,283,387,78,738,1653,700,441,314,284,551,193,674,217,1022,413,979,483,453,217,625,195,1026,383,971,494,16,1,1,True
9,58.8,7,10.4,4,0.525,0.469,0.436,675,0.716,0.312,2,5.6,104.0,30.9,49.6,9.0,0.488,0.42,0.331,0.688,0.228,98.4,28.7,1994,9.9,0.392,0.35,47.9,0.52,17.5,0.465,69.9,2109,2.31,9.9,-1.16,0.33,0.341,52.1,0.564,19.4,0.532,0.69,0,ARKANSAS-LITTLE-ROCK,ARKANSAS-LITTLE-ROCK,427,8,105,sun-belt,14,742,1549,726,483,29,12,9,1160,Little Rock,289,345,93,647,1656,695,548,377,299,602,200,649,227,946,407,1007,468,536,201,511,174,1031,450,1038,552,20,3,3,True
